id,text,intent
2422,List all headers,show_columns
2423,Show all rows where gender is greater than 879,filter_condition
2424,Arrange the table based on salary lowest first,sort_ascending
2425,Sort by age in descending order,sort_descending
2426,Get the total sum for quantity,aggregate_sum
2427,What is the average quantity?,aggregate_average
2428,Count total entries,count_rows
2429,List all headers,show_columns
2430,Display entries where city equals 591,filter_condition
2431,Order the results by status from smallest to largest,sort_ascending
2432,Sort by city in descending order,sort_descending
2433,What is the total of score?,aggregate_sum
2434,What is the average salary?,aggregate_average
2435,Count total entries,count_rows
2436,Which columns are in the dataset?,show_columns
2437,Show all rows where score is greater than 430,filter_condition
2438,Order the results by age from smallest to largest,sort_ascending
2439,Arrange status in reverse order,sort_descending
2440,What is the total of salary?,aggregate_sum
2441,What is the average score?,aggregate_average
2442,Count total entries,count_rows
2443,What fields are present?,show_columns
2444,Show all rows where city is greater than 481,filter_condition
2445,Order the results by score from smallest to largest,sort_ascending
2446,Sort by age in descending order,sort_descending
2447,Sum up the values in quantity,aggregate_sum
2448,Calculate average of price,aggregate_average
2449,Count total entries,count_rows
2450,What fields are present?,show_columns
2451,Display entries where name equals 38,filter_condition
2452,Order the results by quantity from smallest to largest,sort_ascending
2453,Arrange name in reverse order,sort_descending
2454,What is the total of name?,aggregate_sum
2455,What is the average quantity?,aggregate_average
2456,How many records are there?,count_rows
2457,Which columns are in the dataset?,show_columns
2458,List records with score less than 674,filter_condition
2459,Arrange the table based on gender lowest first,sort_ascending
2460,List by name from high to low,sort_descending
2461,Get the total sum for quantity,aggregate_sum
2462,Show mean of quantity,aggregate_average
2463,Number of rows in the data,count_rows
2464,List all headers,show_columns
2465,Display entries where status equals 457,filter_condition
2466,Order the results by age from smallest to largest,sort_ascending
2467,Arrange age in reverse order,sort_descending
2468,What is the total of status?,aggregate_sum
2469,Show mean of age,aggregate_average
2470,Count total entries,count_rows
2471,List all headers,show_columns
2472,Show all rows where city is greater than 654,filter_condition
2473,Order the results by name from smallest to largest,sort_ascending
2474,List by price from high to low,sort_descending
2475,Sum up the values in name,aggregate_sum
2476,What is the average status?,aggregate_average
2477,Count total entries,count_rows
2478,What fields are present?,show_columns
2479,Display entries where price equals 402,filter_condition
2480,Order the results by country from smallest to largest,sort_ascending
2481,Arrange name in reverse order,sort_descending
2482,Sum up the values in gender,aggregate_sum
2483,What is the average status?,aggregate_average
2484,Count total entries,count_rows
2485,Which columns are in the dataset?,show_columns
2486,Display entries where status equals 704,filter_condition
2487,Order the results by score from smallest to largest,sort_ascending
2488,Arrange name in reverse order,sort_descending
2489,What is the total of gender?,aggregate_sum
2490,What is the average age?,aggregate_average
2491,How many records are there?,count_rows
2492,Which columns are in the dataset?,show_columns
2493,Show all rows where salary is greater than 891,filter_condition
2494,Arrange the table based on country lowest first,sort_ascending
2495,Arrange price in reverse order,sort_descending
2496,Sum up the values in city,aggregate_sum
2497,Calculate average of quantity,aggregate_average
2498,Count total entries,count_rows
2499,List all headers,show_columns
2500,Display entries where country equals 699,filter_condition
2501,Sort the data by status in ascending order,sort_ascending
2502,Sort by price in descending order,sort_descending
2503,Sum up the values in quantity,aggregate_sum
2504,What is the average name?,aggregate_average
2505,Number of rows in the data,count_rows
2506,What fields are present?,show_columns
2507,Show all rows where status is greater than 688,filter_condition
2508,Arrange the table based on name lowest first,sort_ascending
2509,Arrange gender in reverse order,sort_descending
2510,What is the total of age?,aggregate_sum
2511,Show mean of quantity,aggregate_average
2512,Count total entries,count_rows
2513,What fields are present?,show_columns
2514,Display entries where score equals 404,filter_condition
2515,Sort the data by quantity in ascending order,sort_ascending
2516,Arrange name in reverse order,sort_descending
2517,Get the total sum for status,aggregate_sum
2518,Show mean of score,aggregate_average
2519,How many records are there?,count_rows
2520,List all headers,show_columns
2521,Display entries where price equals 439,filter_condition
2522,Arrange the table based on age lowest first,sort_ascending
2523,List by score from high to low,sort_descending
2524,Get the total sum for price,aggregate_sum
2525,Calculate average of gender,aggregate_average
2526,Number of rows in the data,count_rows
2527,What fields are present?,show_columns
2528,List records with price less than 556,filter_condition
2529,Order the results by salary from smallest to largest,sort_ascending
2530,List by status from high to low,sort_descending
2531,What is the total of price?,aggregate_sum
2532,Show mean of price,aggregate_average
2533,How many records are there?,count_rows
2534,Which columns are in the dataset?,show_columns
2535,List records with age less than 807,filter_condition
2536,Sort the data by gender in ascending order,sort_ascending
2537,Arrange salary in reverse order,sort_descending
2538,Sum up the values in name,aggregate_sum
2539,Calculate average of quantity,aggregate_average
2540,How many records are there?,count_rows
2541,What fields are present?,show_columns
2542,Show all rows where city is greater than 95,filter_condition
2543,Order the results by age from smallest to largest,sort_ascending
2544,List by city from high to low,sort_descending
2545,Sum up the values in score,aggregate_sum
2546,Calculate average of salary,aggregate_average
2547,How many records are there?,count_rows
2548,What fields are present?,show_columns
2549,Display entries where gender equals 70,filter_condition
2550,Arrange the table based on country lowest first,sort_ascending
2551,Arrange salary in reverse order,sort_descending
2552,Sum up the values in age,aggregate_sum
2553,Show mean of quantity,aggregate_average
2554,Number of rows in the data,count_rows
2555,Which columns are in the dataset?,show_columns
2556,List records with age less than 652,filter_condition
2557,Arrange the table based on salary lowest first,sort_ascending
2558,Sort by salary in descending order,sort_descending
2559,Get the total sum for gender,aggregate_sum
2560,What is the average score?,aggregate_average
2561,Number of rows in the data,count_rows
2562,Which columns are in the dataset?,show_columns
2563,Display entries where gender equals 879,filter_condition
2564,Arrange the table based on country lowest first,sort_ascending
2565,Arrange score in reverse order,sort_descending
2566,Get the total sum for gender,aggregate_sum
2567,Show mean of gender,aggregate_average
2568,Number of rows in the data,count_rows
2569,Which columns are in the dataset?,show_columns
2570,Show all rows where price is greater than 939,filter_condition
2571,Arrange the table based on age lowest first,sort_ascending
2572,Arrange quantity in reverse order,sort_descending
2573,Sum up the values in status,aggregate_sum
2574,Show mean of country,aggregate_average
2575,Count total entries,count_rows
2576,List all headers,show_columns
2577,Display entries where score equals 163,filter_condition
2578,Order the results by name from smallest to largest,sort_ascending
2579,Arrange gender in reverse order,sort_descending
2580,Get the total sum for salary,aggregate_sum
2581,Show mean of salary,aggregate_average
2582,How many records are there?,count_rows
2583,Which columns are in the dataset?,show_columns
2584,Display entries where quantity equals 650,filter_condition
2585,Order the results by salary from smallest to largest,sort_ascending
2586,List by age from high to low,sort_descending
2587,Get the total sum for price,aggregate_sum
2588,Calculate average of score,aggregate_average
2589,Number of rows in the data,count_rows
2590,What fields are present?,show_columns
2591,Display entries where city equals 485,filter_condition
2592,Order the results by age from smallest to largest,sort_ascending
2593,List by country from high to low,sort_descending
2594,What is the total of salary?,aggregate_sum
2595,What is the average status?,aggregate_average
2596,Count total entries,count_rows
2597,What fields are present?,show_columns
2598,List records with name less than 908,filter_condition
2599,Order the results by city from smallest to largest,sort_ascending
2600,Sort by country in descending order,sort_descending
2601,Get the total sum for age,aggregate_sum
2602,Calculate average of score,aggregate_average
2603,How many records are there?,count_rows
2604,Which columns are in the dataset?,show_columns
2605,List records with city less than 50,filter_condition
2606,Arrange the table based on gender lowest first,sort_ascending
2607,Arrange status in reverse order,sort_descending
2608,What is the total of city?,aggregate_sum
2609,Calculate average of salary,aggregate_average
2610,Number of rows in the data,count_rows
2611,Which columns are in the dataset?,show_columns
2612,Show all rows where name is greater than 325,filter_condition
2613,Order the results by age from smallest to largest,sort_ascending
2614,Sort by price in descending order,sort_descending
2615,What is the total of country?,aggregate_sum
2616,What is the average gender?,aggregate_average
2617,Count total entries,count_rows
2618,List all headers,show_columns
2619,List records with country less than 935,filter_condition
2620,Sort the data by gender in ascending order,sort_ascending
2621,List by name from high to low,sort_descending
2622,Get the total sum for age,aggregate_sum
2623,Show mean of score,aggregate_average
2624,How many records are there?,count_rows
2625,What fields are present?,show_columns
2626,Display entries where gender equals 699,filter_condition
2627,Order the results by quantity from smallest to largest,sort_ascending
2628,List by city from high to low,sort_descending
2629,Sum up the values in gender,aggregate_sum
2630,Calculate average of quantity,aggregate_average
2631,Number of rows in the data,count_rows
2632,List all headers,show_columns
2633,Display entries where quantity equals 594,filter_condition
2634,Sort the data by salary in ascending order,sort_ascending
2635,Arrange salary in reverse order,sort_descending
2636,What is the total of country?,aggregate_sum
2637,Show mean of status,aggregate_average
2638,Number of rows in the data,count_rows
2639,Which columns are in the dataset?,show_columns
2640,Display entries where gender equals 562,filter_condition
2641,Arrange the table based on price lowest first,sort_ascending
2642,Sort by salary in descending order,sort_descending
2643,Sum up the values in score,aggregate_sum
2644,What is the average country?,aggregate_average
2645,How many records are there?,count_rows
2646,Which columns are in the dataset?,show_columns
2647,Show all rows where gender is greater than 63,filter_condition
2648,Sort the data by price in ascending order,sort_ascending
2649,Arrange city in reverse order,sort_descending
2650,Sum up the values in gender,aggregate_sum
2651,Calculate average of status,aggregate_average
2652,Number of rows in the data,count_rows
2653,List all headers,show_columns
2654,Show all rows where status is greater than 627,filter_condition
2655,Order the results by price from smallest to largest,sort_ascending
2656,Arrange quantity in reverse order,sort_descending
2657,What is the total of quantity?,aggregate_sum
2658,Calculate average of name,aggregate_average
2659,Count total entries,count_rows
2660,Which columns are in the dataset?,show_columns
2661,List records with city less than 616,filter_condition
2662,Sort the data by salary in ascending order,sort_ascending
2663,Arrange name in reverse order,sort_descending
2664,Sum up the values in status,aggregate_sum
2665,Calculate average of salary,aggregate_average
2666,How many records are there?,count_rows
2667,List all headers,show_columns
2668,Show all rows where status is greater than 95,filter_condition
2669,Arrange the table based on score lowest first,sort_ascending
2670,Sort by status in descending order,sort_descending
2671,What is the total of score?,aggregate_sum
2672,What is the average country?,aggregate_average
2673,How many records are there?,count_rows
2674,What fields are present?,show_columns
2675,List records with country less than 684,filter_condition
2676,Order the results by score from smallest to largest,sort_ascending
2677,Arrange quantity in reverse order,sort_descending
2678,Get the total sum for name,aggregate_sum
2679,Calculate average of age,aggregate_average
2680,How many records are there?,count_rows
2681,What fields are present?,show_columns
2682,Show all rows where price is greater than 798,filter_condition
2683,Arrange the table based on city lowest first,sort_ascending
2684,List by age from high to low,sort_descending
2685,Sum up the values in quantity,aggregate_sum
2686,Show mean of quantity,aggregate_average
2687,Number of rows in the data,count_rows
2688,Which columns are in the dataset?,show_columns
2689,Show all rows where score is greater than 907,filter_condition
2690,Sort the data by price in ascending order,sort_ascending
2691,List by status from high to low,sort_descending
2692,Get the total sum for salary,aggregate_sum
2693,Calculate average of country,aggregate_average
2694,How many records are there?,count_rows
2695,Which columns are in the dataset?,show_columns
2696,Display entries where gender equals 29,filter_condition
2697,Order the results by status from smallest to largest,sort_ascending
2698,Sort by age in descending order,sort_descending
2699,Get the total sum for name,aggregate_sum
2700,What is the average price?,aggregate_average
2701,How many records are there?,count_rows
2702,What fields are present?,show_columns
2703,List records with price less than 881,filter_condition
2704,Arrange the table based on quantity lowest first,sort_ascending
2705,Arrange price in reverse order,sort_descending
2706,Get the total sum for price,aggregate_sum
2707,Calculate average of score,aggregate_average
2708,Number of rows in the data,count_rows
2709,What fields are present?,show_columns
2710,Display entries where name equals 353,filter_condition
2711,Sort the data by price in ascending order,sort_ascending
2712,Arrange salary in reverse order,sort_descending
2713,What is the total of country?,aggregate_sum
2714,Show mean of score,aggregate_average
2715,Count total entries,count_rows
2716,What fields are present?,show_columns
2717,List records with price less than 338,filter_condition
2718,Sort the data by gender in ascending order,sort_ascending
2719,List by quantity from high to low,sort_descending
2720,What is the total of gender?,aggregate_sum
2721,Calculate average of gender,aggregate_average
2722,Count total entries,count_rows
2723,Which columns are in the dataset?,show_columns
2724,Display entries where city equals 996,filter_condition
2725,Sort the data by gender in ascending order,sort_ascending
2726,Sort by country in descending order,sort_descending
2727,What is the total of country?,aggregate_sum
2728,Calculate average of city,aggregate_average
2729,Count total entries,count_rows
2730,List all headers,show_columns
2731,List records with country less than 381,filter_condition
2732,Sort the data by gender in ascending order,sort_ascending
2733,List by city from high to low,sort_descending
2734,What is the total of country?,aggregate_sum
2735,Show mean of age,aggregate_average
2736,Number of rows in the data,count_rows
2737,List all headers,show_columns
2738,List records with gender less than 859,filter_condition
2739,Arrange the table based on age lowest first,sort_ascending
2740,List by age from high to low,sort_descending
2741,Get the total sum for city,aggregate_sum
2742,Calculate average of country,aggregate_average
2743,Count total entries,count_rows
2744,List all headers,show_columns
2745,List records with price less than 381,filter_condition
2746,Arrange the table based on salary lowest first,sort_ascending
2747,Arrange gender in reverse order,sort_descending
2748,What is the total of quantity?,aggregate_sum
2749,What is the average country?,aggregate_average
2750,Count total entries,count_rows
2751,What fields are present?,show_columns
2752,List records with score less than 208,filter_condition
2753,Sort the data by name in ascending order,sort_ascending
2754,Arrange score in reverse order,sort_descending
2755,Get the total sum for status,aggregate_sum
2756,What is the average score?,aggregate_average
2757,How many records are there?,count_rows
2758,What fields are present?,show_columns
2759,Show all rows where salary is greater than 432,filter_condition
2760,Sort the data by city in ascending order,sort_ascending
2761,List by country from high to low,sort_descending
2762,Sum up the values in quantity,aggregate_sum
2763,What is the average gender?,aggregate_average
2764,Number of rows in the data,count_rows
2765,What fields are present?,show_columns
2766,Show all rows where gender is greater than 803,filter_condition
2767,Order the results by status from smallest to largest,sort_ascending
2768,Arrange score in reverse order,sort_descending
2769,Get the total sum for score,aggregate_sum
2770,Show mean of quantity,aggregate_average
2771,How many records are there?,count_rows
2772,What fields are present?,show_columns
2773,Display entries where country equals 297,filter_condition
2774,Arrange the table based on quantity lowest first,sort_ascending
2775,Sort by age in descending order,sort_descending
2776,Get the total sum for gender,aggregate_sum
2777,Calculate average of salary,aggregate_average
2778,How many records are there?,count_rows
2779,What fields are present?,show_columns
2780,Show all rows where status is greater than 868,filter_condition
2781,Order the results by salary from smallest to largest,sort_ascending
2782,Arrange age in reverse order,sort_descending
2783,What is the total of name?,aggregate_sum
2784,What is the average gender?,aggregate_average
2785,How many records are there?,count_rows
2786,What fields are present?,show_columns
2787,Display entries where score equals 194,filter_condition
2788,Order the results by quantity from smallest to largest,sort_ascending
2789,Arrange salary in reverse order,sort_descending
2790,Sum up the values in city,aggregate_sum
2791,Show mean of price,aggregate_average
2792,Number of rows in the data,count_rows
2793,List all headers,show_columns
2794,Display entries where name equals 439,filter_condition
2795,Sort the data by quantity in ascending order,sort_ascending
2796,Sort by age in descending order,sort_descending
2797,Get the total sum for salary,aggregate_sum
2798,Calculate average of city,aggregate_average
2799,Number of rows in the data,count_rows
2800,What fields are present?,show_columns
2801,Display entries where status equals 616,filter_condition
2802,Order the results by quantity from smallest to largest,sort_ascending
2803,Arrange name in reverse order,sort_descending
2804,What is the total of price?,aggregate_sum
2805,Show mean of name,aggregate_average
2806,Number of rows in the data,count_rows
2807,Which columns are in the dataset?,show_columns
2808,Display entries where salary equals 422,filter_condition
2809,Order the results by quantity from smallest to largest,sort_ascending
2810,Arrange city in reverse order,sort_descending
2811,What is the total of city?,aggregate_sum
2812,What is the average price?,aggregate_average
2813,How many records are there?,count_rows
2814,List all headers,show_columns
2815,Display entries where price equals 609,filter_condition
2816,Arrange the table based on gender lowest first,sort_ascending
2817,Sort by country in descending order,sort_descending
2818,Get the total sum for status,aggregate_sum
2819,Calculate average of status,aggregate_average
2820,Number of rows in the data,count_rows
2821,What fields are present?,show_columns
2822,List records with country less than 91,filter_condition
2823,Order the results by city from smallest to largest,sort_ascending
2824,Arrange quantity in reverse order,sort_descending
2825,Sum up the values in score,aggregate_sum
2826,Show mean of country,aggregate_average
2827,Count total entries,count_rows
2828,List all headers,show_columns
2829,Show all rows where salary is greater than 770,filter_condition
2830,Sort the data by gender in ascending order,sort_ascending
2831,Sort by name in descending order,sort_descending
2832,Get the total sum for name,aggregate_sum
2833,Calculate average of name,aggregate_average
2834,Count total entries,count_rows
2835,List all headers,show_columns
2836,Show all rows where price is greater than 914,filter_condition
2837,Order the results by quantity from smallest to largest,sort_ascending
2838,Arrange name in reverse order,sort_descending
2839,Get the total sum for status,aggregate_sum
2840,Calculate average of gender,aggregate_average
2841,Number of rows in the data,count_rows
2842,What fields are present?,show_columns
2843,Display entries where salary equals 133,filter_condition
2844,Sort the data by price in ascending order,sort_ascending
2845,List by quantity from high to low,sort_descending
2846,What is the total of city?,aggregate_sum
2847,Calculate average of quantity,aggregate_average
2848,Number of rows in the data,count_rows
2849,List all headers,show_columns
2850,List records with price less than 984,filter_condition
2851,Sort the data by gender in ascending order,sort_ascending
2852,Sort by salary in descending order,sort_descending
2853,Sum up the values in country,aggregate_sum
2854,What is the average price?,aggregate_average
2855,How many records are there?,count_rows
2856,What fields are present?,show_columns
2857,Show all rows where gender is greater than 665,filter_condition
2858,Order the results by salary from smallest to largest,sort_ascending
2859,Sort by salary in descending order,sort_descending
2860,What is the total of gender?,aggregate_sum
2861,What is the average city?,aggregate_average
2862,How many records are there?,count_rows
2863,What fields are present?,show_columns
2864,List records with status less than 543,filter_condition
2865,Sort the data by price in ascending order,sort_ascending
2866,Sort by name in descending order,sort_descending
2867,Get the total sum for score,aggregate_sum
2868,What is the average gender?,aggregate_average
2869,Number of rows in the data,count_rows
2870,List all headers,show_columns
2871,Display entries where country equals 54,filter_condition
2872,Arrange the table based on name lowest first,sort_ascending
2873,List by gender from high to low,sort_descending
2874,What is the total of quantity?,aggregate_sum
2875,Show mean of gender,aggregate_average
2876,Number of rows in the data,count_rows
2877,List all headers,show_columns
2878,List records with name less than 371,filter_condition
2879,Sort the data by price in ascending order,sort_ascending
2880,Arrange age in reverse order,sort_descending
2881,Sum up the values in score,aggregate_sum
2882,Show mean of age,aggregate_average
2883,How many records are there?,count_rows
2884,List all headers,show_columns
2885,Display entries where status equals 191,filter_condition
2886,Sort the data by quantity in ascending order,sort_ascending
2887,Arrange salary in reverse order,sort_descending
2888,Get the total sum for salary,aggregate_sum
2889,What is the average salary?,aggregate_average
2890,How many records are there?,count_rows
2891,List all headers,show_columns
2892,Show all rows where price is greater than 820,filter_condition
2893,Sort the data by quantity in ascending order,sort_ascending
2894,Sort by city in descending order,sort_descending
2895,What is the total of age?,aggregate_sum
2896,Calculate average of country,aggregate_average
2897,Count total entries,count_rows
2898,List all headers,show_columns
2899,Display entries where name equals 649,filter_condition
2900,Sort the data by score in ascending order,sort_ascending
2901,Sort by price in descending order,sort_descending
2902,Sum up the values in gender,aggregate_sum
2903,Calculate average of country,aggregate_average
2904,Count total entries,count_rows
2905,List all headers,show_columns
2906,Display entries where age equals 215,filter_condition
2907,Sort the data by quantity in ascending order,sort_ascending
2908,Sort by score in descending order,sort_descending
2909,Sum up the values in age,aggregate_sum
2910,What is the average country?,aggregate_average
2911,How many records are there?,count_rows
2912,List all headers,show_columns
2913,List records with score less than 394,filter_condition
2914,Sort the data by score in ascending order,sort_ascending
2915,List by age from high to low,sort_descending
2916,What is the total of gender?,aggregate_sum
2917,What is the average status?,aggregate_average
2918,Count total entries,count_rows
2919,Which columns are in the dataset?,show_columns
2920,Display entries where city equals 121,filter_condition
2921,Arrange the table based on price lowest first,sort_ascending
2922,Arrange score in reverse order,sort_descending
2923,Get the total sum for price,aggregate_sum
2924,What is the average age?,aggregate_average
2925,Count total entries,count_rows
2926,List all headers,show_columns
2927,Show all rows where age is greater than 277,filter_condition
2928,Arrange the table based on status lowest first,sort_ascending
2929,List by status from high to low,sort_descending
2930,What is the total of gender?,aggregate_sum
2931,Show mean of gender,aggregate_average
2932,How many records are there?,count_rows
2933,What fields are present?,show_columns
2934,List records with score less than 259,filter_condition
2935,Arrange the table based on country lowest first,sort_ascending
2936,List by city from high to low,sort_descending
2937,What is the total of age?,aggregate_sum
2938,Calculate average of age,aggregate_average
2939,How many records are there?,count_rows
2940,List all headers,show_columns
2941,Display entries where score equals 300,filter_condition
2942,Order the results by age from smallest to largest,sort_ascending
2943,Sort by gender in descending order,sort_descending
2944,Get the total sum for score,aggregate_sum
2945,Show mean of gender,aggregate_average
2946,How many records are there?,count_rows
2947,Which columns are in the dataset?,show_columns
2948,List records with gender less than 230,filter_condition
2949,Sort the data by status in ascending order,sort_ascending
2950,Arrange gender in reverse order,sort_descending
2951,Get the total sum for quantity,aggregate_sum
2952,What is the average salary?,aggregate_average
2953,How many records are there?,count_rows
2954,Which columns are in the dataset?,show_columns
2955,Show all rows where age is greater than 60,filter_condition
2956,Arrange the table based on score lowest first,sort_ascending
2957,Sort by name in descending order,sort_descending
2958,What is the total of salary?,aggregate_sum
2959,What is the average country?,aggregate_average
2960,Count total entries,count_rows
2961,What fields are present?,show_columns
2962,Show all rows where score is greater than 57,filter_condition
2963,Arrange the table based on country lowest first,sort_ascending
2964,Arrange name in reverse order,sort_descending
2965,What is the total of age?,aggregate_sum
2966,What is the average salary?,aggregate_average
2967,Count total entries,count_rows
2968,What fields are present?,show_columns
2969,Show all rows where status is greater than 536,filter_condition
2970,Order the results by gender from smallest to largest,sort_ascending
2971,Sort by name in descending order,sort_descending
2972,Get the total sum for name,aggregate_sum
2973,Show mean of score,aggregate_average
2974,Count total entries,count_rows
2975,List all headers,show_columns
2976,Display entries where score equals 197,filter_condition
2977,Sort the data by age in ascending order,sort_ascending
2978,List by score from high to low,sort_descending
2979,Get the total sum for score,aggregate_sum
2980,Calculate average of price,aggregate_average
2981,Count total entries,count_rows
2982,List all headers,show_columns
2983,Show all rows where status is greater than 473,filter_condition
2984,Order the results by salary from smallest to largest,sort_ascending
2985,Arrange gender in reverse order,sort_descending
2986,Get the total sum for age,aggregate_sum
2987,Show mean of country,aggregate_average
2988,Count total entries,count_rows
2989,Which columns are in the dataset?,show_columns
2990,List records with name less than 741,filter_condition
2991,Order the results by age from smallest to largest,sort_ascending
2992,Sort by country in descending order,sort_descending
2993,Sum up the values in name,aggregate_sum
2994,What is the average status?,aggregate_average
2995,How many records are there?,count_rows
2996,Which columns are in the dataset?,show_columns
2997,List records with quantity less than 11,filter_condition
2998,Sort the data by gender in ascending order,sort_ascending
2999,Arrange gender in reverse order,sort_descending
3000,Get the total sum for status,aggregate_sum
3001,Show mean of price,aggregate_average
3002,Number of rows in the data,count_rows
3003,List all headers,show_columns
3004,List records with salary less than 258,filter_condition
3005,Order the results by city from smallest to largest,sort_ascending
3006,Sort by country in descending order,sort_descending
3007,What is the total of salary?,aggregate_sum
3008,What is the average name?,aggregate_average
3009,Count total entries,count_rows
3010,Which columns are in the dataset?,show_columns
3011,Display entries where age equals 414,filter_condition
3012,Arrange the table based on salary lowest first,sort_ascending
3013,Sort by gender in descending order,sort_descending
3014,What is the total of country?,aggregate_sum
3015,Show mean of city,aggregate_average
3016,Number of rows in the data,count_rows
3017,List all headers,show_columns
3018,Display entries where name equals 165,filter_condition
3019,Order the results by age from smallest to largest,sort_ascending
3020,Arrange price in reverse order,sort_descending
3021,Get the total sum for age,aggregate_sum
3022,Show mean of score,aggregate_average
3023,How many records are there?,count_rows
3024,What fields are present?,show_columns
3025,Display entries where city equals 231,filter_condition
3026,Sort the data by city in ascending order,sort_ascending
3027,Arrange status in reverse order,sort_descending
3028,Sum up the values in quantity,aggregate_sum
3029,Calculate average of salary,aggregate_average
3030,Count total entries,count_rows
3031,What fields are present?,show_columns
3032,Show all rows where country is greater than 628,filter_condition
3033,Arrange the table based on country lowest first,sort_ascending
3034,Sort by status in descending order,sort_descending
3035,Sum up the values in country,aggregate_sum
3036,Show mean of city,aggregate_average
3037,Count total entries,count_rows
3038,List all headers,show_columns
3039,List records with age less than 271,filter_condition
3040,Arrange the table based on quantity lowest first,sort_ascending
3041,List by age from high to low,sort_descending
3042,Sum up the values in city,aggregate_sum
3043,What is the average country?,aggregate_average
3044,Count total entries,count_rows
3045,Which columns are in the dataset?,show_columns
3046,Display entries where score equals 856,filter_condition
3047,Arrange the table based on gender lowest first,sort_ascending
3048,Sort by price in descending order,sort_descending
3049,Sum up the values in score,aggregate_sum
3050,Show mean of status,aggregate_average
3051,Count total entries,count_rows
3052,What fields are present?,show_columns
3053,Show all rows where name is greater than 696,filter_condition
3054,Order the results by quantity from smallest to largest,sort_ascending
3055,Arrange quantity in reverse order,sort_descending
3056,Get the total sum for status,aggregate_sum
3057,What is the average city?,aggregate_average
3058,Number of rows in the data,count_rows
3059,What fields are present?,show_columns
3060,Show all rows where country is greater than 520,filter_condition
3061,Arrange the table based on name lowest first,sort_ascending
3062,List by gender from high to low,sort_descending
3063,Sum up the values in age,aggregate_sum
3064,What is the average age?,aggregate_average
3065,Count total entries,count_rows
3066,Which columns are in the dataset?,show_columns
3067,Show all rows where age is greater than 784,filter_condition
3068,Order the results by age from smallest to largest,sort_ascending
3069,List by quantity from high to low,sort_descending
3070,What is the total of gender?,aggregate_sum
3071,What is the average salary?,aggregate_average
3072,Number of rows in the data,count_rows
3073,List all headers,show_columns
3074,List records with city less than 204,filter_condition
3075,Order the results by score from smallest to largest,sort_ascending
3076,List by salary from high to low,sort_descending
3077,What is the total of name?,aggregate_sum
3078,Show mean of score,aggregate_average
3079,Number of rows in the data,count_rows
3080,What fields are present?,show_columns
3081,Display entries where city equals 476,filter_condition
3082,Arrange the table based on quantity lowest first,sort_ascending
3083,Arrange name in reverse order,sort_descending
3084,Get the total sum for country,aggregate_sum
3085,Calculate average of age,aggregate_average
3086,Count total entries,count_rows
3087,Which columns are in the dataset?,show_columns
3088,Show all rows where city is greater than 564,filter_condition
3089,Arrange the table based on salary lowest first,sort_ascending
3090,Arrange city in reverse order,sort_descending
3091,Sum up the values in status,aggregate_sum
3092,What is the average status?,aggregate_average
3093,Count total entries,count_rows
3094,Which columns are in the dataset?,show_columns
3095,List records with gender less than 928,filter_condition
3096,Arrange the table based on status lowest first,sort_ascending
3097,Arrange name in reverse order,sort_descending
3098,What is the total of name?,aggregate_sum
3099,Calculate average of name,aggregate_average
3100,Number of rows in the data,count_rows
3101,Which columns are in the dataset?,show_columns
3102,List records with score less than 186,filter_condition
3103,Order the results by age from smallest to largest,sort_ascending
3104,List by country from high to low,sort_descending
3105,Sum up the values in price,aggregate_sum
3106,Show mean of status,aggregate_average
3107,Count total entries,count_rows
3108,List all headers,show_columns
3109,Display entries where quantity equals 564,filter_condition
3110,Sort the data by salary in ascending order,sort_ascending
3111,List by gender from high to low,sort_descending
3112,Get the total sum for gender,aggregate_sum
3113,Show mean of city,aggregate_average
3114,How many records are there?,count_rows
3115,Which columns are in the dataset?,show_columns
3116,Display entries where gender equals 746,filter_condition
3117,Arrange the table based on price lowest first,sort_ascending
3118,List by country from high to low,sort_descending
3119,What is the total of city?,aggregate_sum
3120,Show mean of gender,aggregate_average
3121,How many records are there?,count_rows
3122,What fields are present?,show_columns
3123,Show all rows where status is greater than 147,filter_condition
3124,Order the results by quantity from smallest to largest,sort_ascending
3125,List by price from high to low,sort_descending
3126,What is the total of price?,aggregate_sum
3127,Calculate average of gender,aggregate_average
3128,How many records are there?,count_rows
3129,What fields are present?,show_columns
3130,Display entries where name equals 162,filter_condition
3131,Sort the data by salary in ascending order,sort_ascending
3132,List by age from high to low,sort_descending
3133,What is the total of price?,aggregate_sum
3134,Calculate average of quantity,aggregate_average
3135,How many records are there?,count_rows
3136,List all headers,show_columns
3137,List records with name less than 255,filter_condition
3138,Arrange the table based on country lowest first,sort_ascending
3139,Sort by quantity in descending order,sort_descending
3140,Sum up the values in name,aggregate_sum
3141,Show mean of country,aggregate_average
3142,How many records are there?,count_rows
3143,List all headers,show_columns
3144,Display entries where score equals 371,filter_condition
3145,Order the results by salary from smallest to largest,sort_ascending
3146,List by quantity from high to low,sort_descending
3147,What is the total of city?,aggregate_sum
3148,Calculate average of price,aggregate_average
3149,Number of rows in the data,count_rows
3150,Which columns are in the dataset?,show_columns
3151,Display entries where status equals 379,filter_condition
3152,Arrange the table based on country lowest first,sort_ascending
3153,List by status from high to low,sort_descending
3154,Sum up the values in country,aggregate_sum
3155,Calculate average of status,aggregate_average
3156,How many records are there?,count_rows
3157,List all headers,show_columns
3158,List records with quantity less than 426,filter_condition
